node_id,node_type,x,y,zone,name
1,hospital,2.0,8.0,CBD,Hospital_A
2,hospital,8.0,3.0,residential,Hospital_B
3,hospital,3.0,2.0,residential,Hospital_C
4,market,4.936350297118406,6.37678576602479,CBD,Market_1
5,market,5.8299848545285125,5.4966462104925915,CBD,Market_2
6,market,4.390046601106091,4.389986300840507,CBD,Market_3
7,market,4.1452090304204985,6.1654403644373375,CBD,Market_4
8,intersection,5.91003510568888,6.872653200164409,CBD,Node_8
9,intersection,0.685260448662222,9.22918866945795,peri-urban,Node_9
10,intersection,7.991983767203796,2.4110519961044856,residential,Node_10
11,intersection,2.136424704863906,2.150640588680904,residential,Node_11
12,intersection,3.2381801866358395,5.22280788469014,CBD,Node_12
13,intersection,4.387505167779041,3.1210622617823773,CBD,Node_13
14,intersection,6.006676052501415,1.7554447458683766,residential,Node_14
15,intersection,3.129301836816963,3.7972565896432253,CBD,Node_15
16,intersection,4.604629857953324,7.566583652537123,residential,Node_16
17,intersection,2.2970640394252375,5.128109945722504,residential,Node_17
18,intersection,5.831731119758382,0.9180537144799795,residential,Node_18
19,intersection,5.967903667112945,2.0347171131856236,residential,Node_19
20,intersection,1.0854643368675156,9.039969835279999,peri-urban,Node_20
21,intersection,9.190688297671034,7.77557613304815,peri-urban,Node_21
22,intersection,3.241523922560336,1.3790490260574548,residential,Node_22
23,intersection,6.658097238609412,4.461372443656412,CBD,Node_23
24,intersection,1.5983441136030094,4.956592191001432,residential,Node_24
25,intersection,0.8094966900369656,8.68388361870904,peri-urban,Node_25
26,intersection,2.8290198344001523,6.462700559185838,residential,Node_26
27,intersection,3.3053996848046987,5.180612190600297,CBD,Node_27
28,intersection,5.420392514089517,2.1636900997297435,residential,Node_28
29,intersection,9.226261649881026,7.476195410250031,peri-urban,Node_29
30,intersection,8.955490474077703,8.553446153848839,peri-urban,Node_30
31,intersection,5.881099809299767,8.796868115208051,residential,Node_31
32,intersection,1.2964325184672756,2.263845761772307,peri-urban,Node_32
33,intersection,0.9070456001948426,3.427972976869379,residential,Node_33
34,intersection,3.998095607205338,2.942141285965063,CBD,Node_34
35,intersection,7.9586375823673645,3.7107799402423036,residential,Node_35
36,intersection,3.0284105871864266,5.384264748424236,CBD,Node_36
37,intersection,1.7683180247728638,7.7197728267863575,residential,Node_37
38,intersection,1.1709557931179373,9.381982429404655,peri-urban,Node_38
39,intersection,7.4502029236699165,2.2884411338075514,residential,Node_39
40,intersection,0.5496990541124216,7.8391528560935075,peri-urban,Node_40
